respondent_id,age,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range
r00172,28,m,urban,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),2 to 4,brand reputation,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r00173,40,f,metro,entrepreneur,10l - 15l,0-2 times,newcomer,small (250 ml),2 to 4,price,traditional,retail store,eco-friendly,medium (moderately health-conscious),casual (eg. at home),150-200
r00174,32,f,metro,working professional,> 35l,3-4 times,newcomer,medium (500 ml),2 to 4,quality,exotic,online,premium,low (not very concerned),social (eg. parties),200-250
r00175,27,m,semi-urban,entrepreneur,10l - 15l,3-4 times,newcomer,small (250 ml),above 4,availability,exotic,online,eco-friendly,high (very health-conscious),casual (eg. at home),150-200
r00176,28,f,semi-urban,working professional,16l - 25l,5-7 times,established,large (1 l),2 to 4,brand reputation,traditional,retail store,eco-friendly,medium (moderately health-conscious),casual (eg. at home),150-200
r00177,35,f,urban,working professional,<10l,3-4 times,established,small (250 ml),2 to 4,price,traditional,online,premium,high (very health-conscious),casual (eg. at home),150-200
r00178,43,m,urban,working professional,16l - 25l,0-2 times,established,small (250 ml),2 to 4,quality,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r00179,29,f,urban,working professional,10l - 15l,5-7 times,established,large (1 l),2 to 4,price,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r00180,45,m,semi-urban,working professional,<10l,3-4 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,simple,low (not very concerned),social (eg. parties),100-150
r00181,60,f,metro,entrepreneur,> 35l,0-2 times,established,small (250 ml),2 to 4,quality,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r00182,25,m,urban,student,none,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r00183,65,f,urban,student,none,5-7 times,established,large (1 l),above 4,price,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r00184,31,f,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),social (eg. parties),100-150
r00185,38,f,urban,entrepreneur,<10l,5-7 times,established,small (250 ml),above 4,price,traditional,retail store,simple,low (not very concerned),social (eg. parties),150-200
r00186,34,f,urban,working professional,<10l,5-7 times,established,large (1 l),2 to 4,price,exotic,online,simple,low (not very concerned),casual (eg. at home),150-200
r00187,51,m,metro,working professional,26l - 35l,3-4 times,established,large (1 l),0 to 1,brand reputation,exotic,online,premium,high (very health-conscious),casual (eg. at home),200-250
r00188,38,f,urban,working professional,<10l,3-4 times,established,large (1 l),2 to 4,availability,traditional,retail store,simple,high (very health-conscious),social (eg. parties),200-250
r00189,48,f,urban,working professional,10l - 15l,3-4 times,established,large (1 l),above 4,availability,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r00190,25,m,semi-urban,student,none,3-4 times,established,large (1 l),0 to 1,price,exotic,retail store,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r00191,30,m,metro,working professional,16l - 25l,3-4 times,established,large (1 l),above 4,brand reputation,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r00192,43,m,urban,working professional,16l - 25l,3-4 times,established,medium (500 ml),above 4,brand reputation,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r00193,28,m,metro,entrepreneur,10l - 15l,0-2 times,established,small (250 ml),2 to 4,price,exotic,online,premium,high (very health-conscious),casual (eg. at home),150-200
r00194,53,m,urban,working professional,26l - 35l,3-4 times,established,medium (500 ml),2 to 4,quality,traditional,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00195,19,m,metro,student,none,3-4 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00196,26,m,metro,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),above 4,quality,exotic,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r00197,29,f,urban,working professional,<10l,0-2 times,established,small (250 ml),2 to 4,price,exotic,online,simple,medium (moderately health-conscious),social (eg. parties),100-150
r00198,47,m,urban,entrepreneur,26l - 35l,3-4 times,established,medium (500 ml),above 4,quality,exotic,online,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r00199,29,m,semi-urban,working professional,10l - 15l,5-7 times,established,large (1 l),2 to 4,price,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r00200,19,m,semi-urban,working professional,16l - 25l,3-4 times,established,medium (500 ml),above 4,brand reputation,traditional,retail store,simple,low (not very concerned),social (eg. parties),150-200
r00201,22,m,urban,student,none,3-4 times,established,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r00202,53,m,metro,entrepreneur,10l - 15l,0-2 times,established,small (250 ml),2 to 4,price,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r00203,28,m,metro,working professional,10l - 15l,5-7 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r00204,19,f,urban,student,none,3-4 times,established,small (250 ml),0 to 1,availability,exotic,online,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r00205,18,f,semi-urban,student,none,5-7 times,established,large (1 l),0 to 1,availability,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00206,25,m,urban,student,none,5-7 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r00207,32,m,metro,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r00208,41,f,metro,entrepreneur,> 35l,0-2 times,newcomer,medium (500 ml),0 to 1,brand reputation,traditional,online,premium,low (not very concerned),social (eg. parties),200-250
r00209,42,f,semi-urban,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,eco-friendly,medium (moderately health-conscious),social (eg. parties),150-200
r00210,24,f,urban,student,none,5-7 times,newcomer,medium (500 ml),2 to 4,availability,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r00211,36,m,metro,entrepreneur,10l - 15l,3-4 times,established,large (1 l),0 to 1,availability,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r00212,22,m,urban,student,none,5-7 times,newcomer,medium (500 ml),2 to 4,price,traditional,retail store,simple,low (not very concerned),casual (eg. at home),100-150
r00213,44,f,metro,entrepreneur,> 35l,5-7 times,established,medium (500 ml),2 to 4,quality,exotic,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r00214,18,m,metro,student,none,3-4 times,established,large (1 l),0 to 1,price,exotic,online,premium,high (very health-conscious),casual (eg. at home),100-150
r00215,33,m,rural,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,traditional,retail store,eco-friendly,medium (moderately health-conscious),social (eg. parties),100-150
r00216,67,m,metro,entrepreneur,10l - 15l,5-7 times,established,medium (500 ml),above 4,availability,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00217,43,f,metro,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r00218,31,m,urban,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),2 to 4,brand reputation,traditional,online,simple,high (very health-conscious),social (eg. parties),200-250
r00219,64,f,semi-urban,retired,<10l,0-2 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,simple,low (not very concerned),social (eg. parties),100-150
r00220,42,f,metro,working professional,26l - 35l,3-4 times,established,small (250 ml),above 4,quality,traditional,online,premium,low (not very concerned),casual (eg. at home),200-250
r00221,33,f,semi-urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),2 to 4,availability,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r00222,20,f,urban,student,none,5-7 times,established,medium (500 ml),above 4,price,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r00223,20,m,semi-urban,working professional,<10l,5-7 times,established,small (250 ml),2 to 4,price,traditional,online,premium,high (very health-conscious),social (eg. parties),150-200
r00224,33,m,rural,working professional,26l - 35l,0-2 times,established,small (250 ml),0 to 1,quality,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r00225,49,m,metro,entrepreneur,26l - 35l,0-2 times,established,medium (500 ml),2 to 4,brand reputation,traditional,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r00226,30,m,metro,working professional,10l - 15l,5-7 times,established,small (250 ml),above 4,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r00227,37,m,urban,working professional,10l - 15l,0-2 times,newcomer,large (1 l),above 4,price,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r00228,31,m,metro,working professional,26l - 35l,5-7 times,newcomer,medium (500 ml),above 4,quality,traditional,online,eco-friendly,high (very health-conscious),social (eg. parties),200-250
r00229,43,f,urban,working professional,> 35l,3-4 times,established,medium (500 ml),2 to 4,quality,traditional,retail store,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r00230,27,m,urban,working professional,> 35l,5-7 times,newcomer,medium (500 ml),2 to 4,brand reputation,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r00231,55,m,semi-urban,working professional,<10l,3-4 times,newcomer,small (250 ml),0 to 1,price,traditional,online,simple,low (not very concerned),casual (eg. at home),100-150
r00232,22,m,metro,student,none,0-2 times,established,small (250 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00233,41,m,metro,entrepreneur,16l - 25l,5-7 times,established,large (1 l),above 4,brand reputation,exotic,online,eco-friendly,low (not very concerned),social (eg. parties),200-250
r00234,44,f,metro,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,simple,medium (moderately health-conscious),social (eg. parties),150-200
r00235,38,f,semi-urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),above 4,price,traditional,retail store,premium,low (not very concerned),"active (eg. sports, gym)",150-200
r00236,30,m,semi-urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),above 4,price,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r00237,31,m,metro,working professional,26l - 35l,5-7 times,newcomer,large (1 l),above 4,quality,exotic,online,premium,high (very health-conscious),casual (eg. at home),200-250
r00238,42,f,metro,working professional,> 35l,3-4 times,established,medium (500 ml),above 4,quality,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r00239,62,f,metro,retired,<10l,0-2 times,newcomer,small (250 ml),2 to 4,availability,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r00240,32,m,urban,working professional,16l - 25l,3-4 times,established,medium (500 ml),0 to 1,brand reputation,exotic,online,eco-friendly,low (not very concerned),social (eg. parties),150-200
r00241,34,m,metro,working professional,26l - 35l,3-4 times,established,large (1 l),above 4,brand reputation,exotic,online,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r00242,25,f,metro,student,none,0-2 times,established,small (250 ml),0 to 1,availability,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r00243,46,m,semi-urban,working professional,16l - 25l,0-2 times,established,large (1 l),2 to 4,quality,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
